COUNTRY	Country	SEX	Sex	AGE	Age	EMPSTAT	Employment status	JOBTYPE	Job type	TIME	Time	Value
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	TED	Total declared employment	2013	2013	37.11071093
AUS	Australia	MW	All persons	5564	55 to 64	TE	Total employment	TED	Total declared employment	2014	2014	36.6902816
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	FT	Full-time employment	2010	2010	43.09177562
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	FT	Full-time employment	2011	2011	43.40193568
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	FT	Full-time employment	2012	2012	42.67318254
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	FT	Full-time employment	2013	2013	42.86724799
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	FT	Full-time employment	2014	2014	42.98577987
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	PT	Part-time employment	2010	2010	14.19254771
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	PT	Part-time employment	2011	2011	14.47101561
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	PT	Part-time employment	2012	2012	14.68420586
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	PT	Part-time employment	2013	2013	14.13700224
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	PT	Part-time employment	2014	2014	14.40787867
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	TED	Total declared employment	2010	2010	29.48655187
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	TED	Total declared employment	2011	2011	29.98089076
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	TED	Total declared employment	2012	2012	30.13005294
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	TED	Total declared employment	2013	2013	29.8579002
AUS	Australia	MW	All persons	6599	65+	DE	Dependent employment	TED	Total declared employment	2014	2014	28.97757421
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	FT	Full-time employment	2010	2010	45.25687082
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	FT	Full-time employment	2011	2011	44.66971019
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	FT	Full-time employment	2012	2012	44.05691578
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	FT	Full-time employment	2013	2013	44.00716408
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	FT	Full-time employment	2014	2014	43.79532638
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	PT	Part-time employment	2010	2010	13.99461512
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	PT	Part-time employment	2011	2011	14.08135993
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	PT	Part-time employment	2012	2012	14.11225669
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	PT	Part-time employment	2013	2013	13.8774157
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	PT	Part-time employment	2014	2014	14.18733154
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	TED	Total declared employment	2010	2010	30.4963424
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	TED	Total declared employment	2011	2011	30.31560255
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	TED	Total declared employment	2012	2012	30.1369547
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	TED	Total declared employment	2013	2013	29.68042656
AUS	Australia	MW	All persons	6599	65+	TE	Total employment	TED	Total declared employment	2014	2014	28.91246998
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	FT	Full-time employment	2010	2010	42.38135654
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	FT	Full-time employment	2011	2011	42.40379075
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	FT	Full-time employment	2012	2012	42.46468087
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	FT	Full-time employment	2013	2013	42.38056164
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	FT	Full-time employment	2014	2014	42.16975107
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	PT	Part-time employment	2010	2010	16.42378426
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	PT	Part-time employment	2011	2011	16.47037952
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	PT	Part-time employment	2012	2012	16.57606078
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	PT	Part-time employment	2013	2013	16.53844234
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	PT	Part-time employment	2014	2014	16.60202619
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	TED	Total declared employment	2010	2010	36.0699907
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	TED	Total declared employment	2011	2011	36.14905661
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	TED	Total declared employment	2012	2012	36.2971737
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	TED	Total declared employment	2013	2013	36.1286389
AUS	Australia	MW	All persons	900000	Total	DE	Dependent employment	TED	Total declared employment	2014	2014	35.91614129
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	FT	Full-time employment	2010	2010	42.97465335
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	FT	Full-time employment	2011	2011	42.92823236
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	FT	Full-time employment	2012	2012	42.92858619
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	FT	Full-time employment	2013	2013	42.83941997
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	FT	Full-time employment	2014	2014	42.60352471
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	PT	Part-time employment	2010	2010	16.19560889
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	PT	Part-time employment	2011	2011	16.24337852
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	PT	Part-time employment	2012	2012	16.33364999
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	PT	Part-time employment	2013	2013	16.33099041
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	PT	Part-time employment	2014	2014	16.40522162
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	TED	Total declared employment	2010	2010	36.32131721
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	TED	Total declared employment	2011	2011	36.34770625
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	TED	Total declared employment	2012	2012	36.39872639
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	TED	Total declared employment	2013	2013	36.24802322
AUS	Australia	MW	All persons	900000	Total	TE	Total employment	TED	Total declared employment	2014	2014	36.01214799
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2010	2010	41.05581077
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2011	2011	41.26147984
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2012	2012	41.36747395
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2013	2013	41.21218937
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	FT	Full-time employment	2014	2014	41.03723315
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2010	2010	13.4877355
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2011	2011	13.35473888
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2012	2012	13.53337557
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2013	2013	13.41269786
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	PT	Part-time employment	2014	2014	13.6082616
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2010	2010	31.22009423
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2011	2011	31.37584531
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2012	2012	31.47614576
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2013	2013	30.68540678
AUS	Australia	MEN	Men	1524	15 to 24	DE	Dependent employment	TED	Total declared employment	2014	2014	30.47918143
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	FT	Full-time employment	2010	2010	41.22669269
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	FT	Full-time employment	2011	2011	41.42114952
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	FT	Full-time employment	2012	2012	41.51477573
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	FT	Full-time employment	2013	2013	41.3634803
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	FT	Full-time employment	2014	2014	41.2188473
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	PT	Part-time employment	2010	2010	13.4524572
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	PT	Part-time employment	2011	2011	13.30837869
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	PT	Part-time employment	2012	2012	13.47098257
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	PT	Part-time employment	2013	2013	13.38904342
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	PT	Part-time employment	2014	2014	13.57597692
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	TED	Total declared employment	2010	2010	31.36729967
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	TED	Total declared employment	2011	2011	31.47147796
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	TED	Total declared employment	2012	2012	31.57833084
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	TED	Total declared employment	2013	2013	30.85940125
AUS	Australia	MEN	Men	1524	15 to 24	TE	Total employment	TED	Total declared employment	2014	2014	30.64656605
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2010	2010	44.43898817
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2011	2011	44.45988279
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2012	2012	44.54220849
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2013	2013	44.42317723
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	FT	Full-time employment	2014	2014	44.21390505
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2010	2010	18.26773336
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2011	2011	18.43522472
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2012	2012	18.31849266
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2013	2013	18.56935192
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	PT	Part-time employment	2014	2014	18.45610493
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2010	2010	42.83212233
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2011	2011	42.90414079
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2012	2012	43.05843617
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2013	2013	42.85306681
AUS	Australia	MEN	Men	2554	25 to 54	DE	Dependent employment	TED	Total declared employment	2014	2014	42.59043219
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	FT	Full-time employment	2010	2010	44.94862296
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	FT	Full-time employment	2011	2011	44.95122526
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	FT	Full-time employment	2012	2012	44.94607297
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	FT	Full-time employment	2013	2013	44.80793718
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	FT	Full-time employment	2014	2014	44.59122917
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	PT	Part-time employment	2010	2010	18.06592541
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	PT	Part-time employment	2011	2011	18.26065
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	PT	Part-time employment	2012	2012	18.15496782
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	PT	Part-time employment	2013	2013	18.38993221
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	PT	Part-time employment	2014	2014	18.32534163
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	TED	Total declared employment	2010	2010	43.12379323
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	TED	Total declared employment	2011	2011	43.16966141
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	TED	Total declared employment	2012	2012	43.22515865
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	TED	Total declared employment	2013	2013	43.01268191
AUS	Australia	MEN	Men	2554	25 to 54	TE	Total employment	TED	Total declared employment	2014	2014	42.74051277
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2010	2010	44.44425369
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2011	2011	44.51208624
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2012	2012	44.75751168
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2013	2013	44.62021488
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	FT	Full-time employment	2014	2014	44.21869455
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2010	2010	17.18599845
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2011	2011	17.26047761
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2012	2012	17.74289273
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2013	2013	17.94619296
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	PT	Part-time employment	2014	2014	17.61133634
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2010	2010	41.22986805
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2011	2011	41.56659986
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2012	2012	41.72169745
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2013	2013	41.73811849
AUS	Australia	MEN	Men	5564	55 to 64	DE	Dependent employment	TED	Total declared employment	2014	2014	41.20396144
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	FT	Full-time employment	2010	2010	45.34734304
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	FT	Full-time employment	2011	2011	45.1447533
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	FT	Full-time employment	2012	2012	45.30140808
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	FT	Full-time employment	2013	2013	45.33669643
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	FT	Full-time employment	2014	2014	44.90401943
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	PT	Part-time employment	2010	2010	16.88155021
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	PT	Part-time employment	2011	2011	16.83456764
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	PT	Part-time employment	2012	2012	17.35275209
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	PT	Part-time employment	2013	2013	17.57059318
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	PT	Part-time employment	2014	2014	17.20170278
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	TED	Total declared employment	2010	2010	41.39968908
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	TED	Total declared employment	2011	2011	41.47533383
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	TED	Total declared employment	2012	2012	41.57176263
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	TED	Total declared employment	2013	2013	41.73790248
AUS	Australia	MEN	Men	5564	55 to 64	TE	Total employment	TED	Total declared employment	2014	2014	41.16856924
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	FT	Full-time employment	2010	2010	44.5421885
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	FT	Full-time employment	2011	2011	44.86445941
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	FT	Full-time employment	2012	2012	43.70359835
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	FT	Full-time employment	2013	2013	44.04177325
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	FT	Full-time employment	2014	2014	44.10100189
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	PT	Part-time employment	2010	2010	14.5005135
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	PT	Part-time employment	2011	2011	14.36007036
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	PT	Part-time employment	2012	2012	14.82663284
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	PT	Part-time employment	2013	2013	14.23488386
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	PT	Part-time employment	2014	2014	14.23756941
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	TED	Total declared employment	2010	2010	32.4292518
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	TED	Total declared employment	2011	2011	33.13519057
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	TED	Total declared employment	2012	2012	33.27434934
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	TED	Total declared employment	2013	2013	32.98631399
AUS	Australia	MEN	Men	6599	65+	DE	Dependent employment	TED	Total declared employment	2014	2014	32.22778661
AUS	Australia	MEN	Men	6599	65+	TE	Total employment	FT	Full-time employment	2010	2010	46.68192495
